顺序,皇帝,寿命,生卒年,朝代
1,秦始皇嬴政,50,前259年－前210年,秦朝
2,秦二世嬴胡亥,24,前230年—前207年,秦朝
3,汉高帝 刘邦,62,前256年－前195年,汉朝
4,汉惠帝 刘盈,23,前210年—前188年,汉朝
5,汉文帝 刘恒,46,前202年－前157年,汉朝
6,汉景帝 刘启,48,前188年－前141年,汉朝
7,汉武帝 刘彻,70,前156年－前87年,汉朝
8,汉昭帝 刘弗陵,21,前94年—前74年,汉朝
9,昌邑王 刘贺,34,前92年—前59年,汉朝
10,汉宣帝 刘询,45,前91年—前49年,汉朝
11,汉元帝 刘奭,42,前74年—前33年,汉朝
12,汉成帝 刘骜,45,前51年—前7年,汉朝
13,汉哀帝 刘欣,26,前26年—前1年,汉朝
14,汉平帝 刘箕子,14,前9年—5年,汉朝
15,孺子婴 刘婴,21,5年—25年,汉朝
16,新朝 王莽,68,前45年－23年,新朝
17,汉光武帝 刘秀,63,前6年－57年,汉朝
18,汉明帝 刘庄,48,28年—75年,汉朝
19,汉章帝 刘炟,32,57年—88年,汉朝
20,汉和帝 刘肇,27,79年—105年,汉朝
21,汉殇帝 刘隆,2,105年—106年,汉朝
22,汉安帝 刘祜,32,94年—125年,汉朝
23,汉顺帝 刘保,30,115年—144年,汉朝
24,汉冲帝 刘炳,3,143年—145年,汉朝
25,汉质帝 刘缵,9,138年—146年,汉朝
26,汉桓帝 刘志,36,132年—167年,汉朝
27,汉灵帝 刘宏,34,156年—189年,汉朝
28,汉少帝 刘辩,15,176年—190年,汉朝
29,汉献帝 刘协,54,181年—234年,汉朝
30,汉昭烈帝刘备,63,161年－223年,三国
31,蜀汉后主 刘禅,65,207年－271年,三国
32,魏文帝 曹丕,40,187年—226年,三国
33,魏明帝 曹睿,34,205年—239年,三国
34,曹魏齐王 曹芳,43,232年—274年,三国
35,曹魏高贵乡公 曹髦,20,241年—260年,三国
36,魏元帝 曹奂,58,245年—302年,三国
37,吴大帝 孙权,71,182年－252年,三国
38,东吴废帝 孙亮,18,243年—260年,三国
39,吴景帝 孙休,30,235年－264年,三国
